noaa,icao
720481,KMAW
720482,KMBY
720483,KMHL
720484,KMYJ
720487,KRAW
720488,KSIK
720489,KUUV
720616,KBBG
720636,KGLY
720869,KVER
720949,KH21
721045,KGPH
722367,KRCM
723290,KCGI
723300,KPOF
723484,KUNO
723495,KJLN
724340,KSTL
724345,KSUS
724347,KSET
724400,KSGF
724420,KVIH
724450,KCOU
724453,KDMO
724454,KFAM
724455,KIRK
724457,KTBN
724458,KJEF
724459,KAIZ
724460,KMCI
724463,KMKC
724464,KCDJ
724466,KGVW
724467,KSZL
724490,KSTJ
A51256,KFWB
720541,KUOX
720708,KNJW
720717,KDLP
720769,KSTF
720776,KLUL
720787,KJVW
720924,KCRX
720927,KCKM
720932,K1R7
720975,KSLJ
722138,KHSA
722165,KOLV
722340,KMEI
722344,KLMS
722345,KNMM
722348,KPIB
722349,KMJD
722350,KJAN
722354,KHKS
722355,KVKS
722357,KHEZ
722358,KMCB
722364,KUTA
723306,KCBM
723307,KGTR
723320,KTUP
725023,KRNV
746941,KM40
747570,KGPT
747580,KGWO
747590,KHBG
747680,KGLH
747686,KBIX
747688,KPQL
720759,KHRF
720994,K1AM
720995,K1BM
720996,K1CM
720997,K1DM
720998,K1EM
720999,K1FM
721001,K1GM
721002,K1HM
721003,K1IM
721004,K1JM
721005,K1KM
721006,K1LM
721007,K1MM
721008,K1NM
721009,K1OM
726676,KGDV
726764,KWYS
726770,KBIL
726776,KLWT
726777,KBHK
726797,KBZN
726798,KLVM
727680,KGGW
727684,KJDN
727686,KOLF
727687,KSDY
727690,KCTB
727700,KDLN
727720,KHLN
727730,KMSO
727740,KBTM
727750,KGTF
727755,KGFA
727770,KHVR
727790,KGPI
742300,KMLS
720274,KCPC
720277,KEHO
720279,KEYF
720282,KFFA
720288,KHNZ
720649,KIXA
720864,KETC
720968,K5W8
722073,KCTZ
722079,KEXX
722128,KIPJ
722131,KJNX
722132,KJQF
722141,KLHZ
722148,KVUJ
722177,KRHP
722191,KSUT
722193,KTDF
722198,KTNB
722201,KTTA
722243,KRCZ
723010,KHKY
723020,KILM
723030,KPOB
723034,KHFF
723035,KFAY
723037,KMRH
723046,KMQI
723055,KSVH
723060,KRDU
723062,KNBT
723062,KNBT
723065,KPGV
723066,KGSB
723067,KISO
723068,KRWI
723069,KOAJ
723070,KECG
723074,KEDE
723079,KASJ
723090,KNKT
723095,KEWN
723096,KNCA
723097,KNJM
723108,KLBT
723109,KMEB
723139,KHSE
723140,KCLT
723143,KSOP
723144,KFQD
723146,KGEV
723147,KAKH
723148,KMRN
723150,KAVL
723156,KRUQ
723165,KUKF
723170,KGSO
723174,KBUY
723177,KMWK
723193,KINT
723194,KEQY
723626,KONX
725294,KAFP
742077,KSIF
746925,KOCW
746929,KDPL
746930,KFBG
746935,KHBI
746936,KHRJ
746939,KIGX
746940,KGWW
A00003,K1A5
720491,KGWR
720737,K46D
720853,K06D
720854,K20U
720855,K2C8
720858,K9D7
720861,KD50
720863,KD60
720865,KGAF
720866,KHZE
720867,KRUG
720868,KS25
720871,KY19
720895,KD57
720909,K08D
720911,KBAC
720933,K7L2
722004,KBWP
722857,K96D
727530,KFAR
727535,KJMS
727570,KGFK
727573,KDVL
727575,KRDR
727584,KHEI
727630,KDIK
727640,KBIS
727670,KISN
727675,KMIB
727676,KMOT
727677,KN60
A07141,KS32
720308,KMLE
720405,KBTA
720846,K4V9
720942,KAHQ
720988,K1KW
722124,KHJH
722211,KTIF
722241,KLCG
722291,KPMV
723441,KBVN
725500,KOMA
725510,KLNK
725512,KJYR
725513,KAUH
725515,KBIE
725520,KGRI
725524,KODX
725525,KHSI
725526,KEAR
725527,KTQE
725533,KFNB
725540,KOFF
725541,KAFK
725555,KBBW
725556,KANW
725560,KOFK
725564,KFET
725565,KOLU
725566,KONL
725610,KSNY
725620,KLBF
725621,KOGA
725624,KLXN
725625,KMCK
725626,KIML
725628,KHDE
725635,KAIA
725636,KCDR
725637,KGRN
725660,KBFF
725665,KIBM
725670,KVTN
726050,KCON
726055,KPSM
726056,KDAW
726116,KLEB
726130,KMWN
726155,KLCI
726160,KBML
726163,KAFN
726164,KHIE
726165,KEEN
742078,K1P1
743945,KMHT
743946,KASH
720407,KMJX
720581,KLDJ
722247,KSMQ
724070,KACY
724074,KVAY
724075,KMIV
724077,K12N
724084,KBLM
724090,KNEL
724094,KCDW
724095,KTTN
724096,KWRI
724097,KMMU
725020,KEWR
725025,KTEB
740001,KFWN
745966,KWWD
720411,KAXX
720724,KBRG
720963,KM63
720976,KLSB
722676,KATS
722677,KCQC
722678,KRTN
722680,KROW
722683,KSRR
722686,KCVS
722687,KCNM
722688,KHOB
722689,KCVN
722693,KALM
722695,KLRU
722710,KTCS
722721,KSVC
722725,KDMN
723600,KCAO
723620,KONM
723625,KGNT
723627,KGUP
723640,KDNA
723647,KAEG
723650,KABQ
723654,KLAM
723656,KSAF
723658,KFMN
723663,KSKX
723676,KTCC
723677,KLVS
746380,K4MR
747320,KHMN
720129,KTMT
720549,KCXP
720551,KMEV
720741,KBVU
720839,KRTS
722096,KHND
723860,KLAS
723870,KDRA
724770,KP68
724846,KVGT
724855,KTPH
724856,KHTH
724860,KELY
724880,KRNO
724885,KNFL
725805,KLOL
725825,KEKO
725830,KWMC
725835,KBAM
725875,KOWY
746140,KLSV
746141,KINS
720553,KJRB
722098,KHTO
724988,KDSV
725014,KMTP
725015,KMGJ
725016,KHWV
725030,KLGA
725036,KPOU
725037,KHPN
725038,KSWF
725050,KISP
725053,KNYC
725145,KMSV
725146,KFZY
725150,KBGM
725155,KITH
725156,KELM
725157,KELZ
725180,KALB
725186,KOGS
725190,KSYR
725194,KPEO
725196,KRME
725220,KGFL
725235,KJHW
725280,KBUF
725283,KOLE
725287,KIAG
725290,KROC
726223,KMSS
726225,KPBG
726227,KART
726228,KSLK
743700,KGTB
744860,KJFK
744864,KFRG
744865,KFOK
744989,KDKK
744994,KSCH
720397,KUNI
720414,K4I3
720651,KMRT
720705,KI43
720709,KOWX
720713,KVES
720928,KDLZ
720944,KEDJ
722249,KMWO
724200,KMFD
724276,KMGY
724280,KCMH
724284,KTZR
724285,KLCK
724286,KZZV
724287,KTDZ
724288,KOSU
724290,KDAY
724294,KLHQ
724295,KSGH
724296,KILN
724297,KLUK
724298,KAOH
724303,KAKR
725208,KMNN
725210,KCAK
725214,KLPR
725216,KBJJ
725217,KHAO
725224,KPHD
725229,KVTA
725240,KCLE
725244,KLNN
725244,KLNN
725245,KBKL
725247,KCGF
725250,KYNG
725253,KPOV
725254,KDFI
725256,KHZY
725360,KTOL
725366,KFDY
745700,KFFO
A07086,KPCW
720255,KMIO
720342,KJWG
720354,KAXS
720356,KCLK
720357,KCUH
720358,KRQO
720359,KSRE
720558,KELK
720559,KHHW
720561,KOWP
720625,KBKN
720627,KGZL
720628,KRCE
722044,KADH
722051,KAQR
722052,KAVK
722071,KCHK
722078,KDUC
722091,KGCM
722092,KGMJ
722095,KGUY
722099,KCQB
722133,KJSV
722152,KWWR
722164,KOKM
722173,KPVJ
722178,KRKR
722187,KSNL
722199,KTQH
722368,KOJA
723520,KLTS
723525,KHBR
723526,KCSM
723528,KFDR
723530,KOKC
723535,KEND
723536,KWDG
723537,KGOK
723540,KTIK
723544,KPWA
723545,KSWO
723550,KFSI
723555,KADM
723556,KMKO
723560,KTUL
723564,KRVS
723565,KBVO
723566,KMLC
723570,KOUN
723575,KLAW
723759,K4O4
724530,KPNC
742513,KDUA
746410,KGAG
A00004,K1F0
720202,KTMK
720365,KBOK
720638,KBDN
720837,KJSY
725895,KLMT
725970,KMFR
725975,KSXT
725976,KLKV
725985,KBOK
726830,KBNO
726836,KSPB
726837,KONO
726875,KREO
726876,KGCD
726880,KPDT
726881,KMMV
726883,KHRI
726884,KLGD
726885,KMEH
726886,KBKE
726887,KS21
726904,KRBG
726917,KOTH
726920,KRDM
726930,KEUG
726940,KSLE
726945,KCVO
726950,KONP
726959,KUAO
726980,KPDX
726985,KTTD
726986,KHIO
727910,KAST
720304,KLOM
720324,KUKT
720378,KUCP
720408,KMQS
723990,KMDT
724080,KPHL
724085,KPNE
725103,KRDG
725104,KGKJ
725105,KSEG
725109,KPTW
725113,KDYL
725114,KTHV
725116,KLNS
725117,KAFJ
725118,KCXY
725119,KFIG
725124,KBTP
725125,KDUJ
725126,KAOO
725127,KJST
725128,KUNV
725130,KAVP
725140,KIPT
725144,KMUI
725170,KABE
725175,KIDI
725200,KPIT
725203,KRVL
725204,KBVI
725205,KAGC
725207,KLBE
725260,KERI
725266,KBFD
725267,KFKL
725434,KMPO
A00030,KVVS
785140,TJBQ
785260,TJSJ
785265,TJIG
785350,TJNR
722151,KWST
725054,KSFZ
725058,KBID
725070,KPVD
725074,KOQU
725079,KUUU
720120,KHXD
720596,KEOE
720597,KLUX
720598,KMKS
720599,KDCM
720601,KAIK
