iata,icao,noaa
LWT,KLWT,726776
MLS,KMLS,742300
MSO,KMSO,727730
OLF,KOLF,727686
PWD,KPWD,
RPX,KRPX,
SBX,KSBX,
SDY,KSDY,727687
THM,KTHM,
WYS,KWYS,726764
AIA,KAIA,725635
ANW,KANW,725556
BBW,KBBW,725555
BFF,KBFF,725660
BIE,KBIE,725515
BUB,KBUB,
CDR,KCDR,725636
EAR,KEAR,725526
FBY,KFBY,
FET,KFET,725564
GRI,KGRI,725520
GRN,KGRN,725637
HDE,KHDE,725628
HSI,KHSI,725525
IML,KIML,725626
LBF,KLBF,725620
LNK,KLNK,725510
LXN,KLXN,725624
MCK,KMCK,725625
MHN,KMHN,
MIQ,KMLE,720308
OFF,KOFF,725540
OFK,KOFK,725560
OGA,KOGA,725621
OKS,KOKS,
OLU,KOLU,725565
ONL,KONL,725566
SCB,KSCB,
SNY,KSNY,725610
VTN,KVTN,725670
BAM,KBAM,725835
BTY,KBTY,
CSN,KCXP,720549
DRA,KDRA,723870
EKO,KEKO,725825
ELY,KELY,724860
FLX,KFLX,
GAB,KGAB,
HSH,KHND,722096
HTH,KHTH,724856
INS,KINS,746141
LAS,KLAS,723860
LOL,KLOL,725805
LSV,KLSV,746140
LWL,KLWL,
MEV,KMEV,720551
NFL,KNFL,724885
RNO,KRNO,724880
TPH,KTPH,724855
UCC,KUCC,
VGT,KVGT,724846
WMC,KWMC,725830
XSD,KTNX,
AFN,KAFN,726163
ASH,KASH,743946
BML,KBML,726160
CNH,KCNH,
CON,KCON,726050
EEN,KEEN,726165
ERR,KERR,
HIE,KHIE,726164
LCI,KLCI,726155
LEB,KLEB,726116
MHT,KMHT,743945
PSM,KPSM,726055
ACY,KACY,724070
BLM,KBLM,724084
CDW,KCDW,724094
EWR,KEWR,725020
LDJ,KLDJ,720581
LLY,KVAY,724074
MIV,KMIV,724075
MJX,KMJX,720407
MMU,KMMU,724097
NEL,KNEL,724090
TEB,KTEB,725025
TTN,KTTN,724095
WRI,KWRI,724096
WWD,KWWD,745966
ABQ,KABQ,723650
ALM,KALM,722693
ATS,KATS,722676
AXX,KAXX,720411
CAO,KCAO,723600
CNM,KCNM,722687
CVN,KCVN,722689
CVS,KCVS,722686
DMN,KDMN,722725
FMN,KFMN,723658
FSU,KFSU,
GNT,KGNT,723625
GUP,KGUP,723627
HMN,KHMN,747320
HOB,KHOB,722688
LAM,KLAM,723654
LRU,KLRU,722695
LSB,KLSB,720976
LVS,KLVS,723677
ONM,KONM,723620
ROW,KROW,722680
RTN,KRTN,722678
RUI,KSRR,722683
SAF,KSAF,723656
SVC,KSVC,722721
TCC,KTCC,723676
TCS,KTCS,722710
TSM,KSKX,723663
WSD,KWSD,
ALB,KALB,725180
ART,KART,726227
BGM,KBGM,725150
BUF,KBUF,725280
DKK,KDKK,744989
DSV,KDSV,724988
ELM,KELM,725156
ELZ,KELZ,725157
FOK,KFOK,744865
FRG,KFRG,744864
GFL,KGFL,725220
HPN,KHPN,725037
HTO,KHTO,722098
IAG,KIAG,725287
ISP,KISP,725050
ITH,KITH,725155
JFK,KJFK,744860
JHW,KJHW,725235
LGA,KLGA,725030
LKP,KLKP,
MGJ,KMGJ,725015
MSS,KMSS,726223
MSV,KMSV,725145
MTP,KMTP,725014
OGS,KOGS,725186
OIC,KOIC,
OLE,KOLE,725283
PBG,KPBG,726225
POU,KPOU,725036
RME,KRME,725196
ROC,KROC,725290
SCH,KSCH,744994
SLK,KSLK,726228
SWF,KSWF,725038
SYR,KSYR,725190
WSH,KHWV,725016
AVL,KAVL,723150
CLT,KCLT,723140
CTZ,KCTZ,722073
ECG,KECG,723070
EDE,KEDE,723074
EWN,KEWN,723095
FAY,KFAY,723035
FBG,KFBG,746930
FFA,KFFA,720282
GSB,KGSB,723066
GSO,KGSO,723170
HFF,KHFF,723034
HKY,KHKY,723010
HNC,KHSE,723139
IKB,KUKF,723165
ILM,KILM,723020
INT,KINT,723193
ISO,KISO,723067
LBT,KLBT,723108
LFN,KLHZ,722141
MEO,KMQI,723046
MRN,KMRN,723148
MXE,KMEB,723109
